DayOfWeek,Department,TimeOfDay,PatientInflow
Monday,Cardiology,Morning,15
Friday,Oncology,Morning,23
Thursday,Emergency,Evening,16
Saturday,Pediatrics,Morning,23
Thursday,Pediatrics,Afternoon,16
Friday,Pediatrics,Afternoon,5
Sunday,Neurology,Morning,15
Saturday,Neurology,Afternoon,20
Tuesday,Oncology,Morning,21
Saturday,Emergency,Afternoon,16
Thursday,Emergency,Evening,17
Monday,Neurology,Night,22
Monday,Neurology,Night,15
Monday,Neurology,Evening,6
Saturday,Oncology,Night,10
Saturday,Cardiology,Evening,12
Sunday,Cardiology,Afternoon,13
Tuesday,Cardiology,Morning,5
Monday,Emergency,Night,13
Friday,Cardiology,Morning,20
Tuesday,Oncology,Afternoon,6
Sunday,Neurology,Morning,11
Saturday,Emergency,Evening,6
Saturday,Cardiology,Evening,20
Thursday,Neurology,Afternoon,20
Tuesday,Emergency,Evening,28
Monday,Pediatrics,Morning,18
Monday,Oncology,Evening,16
Friday,Oncology,Night,14
Thursday,Oncology,Night,16
Thursday,Oncology,Morning,25
Tuesday,Oncology,Night,11
Sunday,Cardiology,Night,24
Saturday,Cardiology,Morning,27
Saturday,Pediatrics,Morning,27
Monday,Emergency,Evening,13
Monday,Cardiology,Afternoon,27
Tuesday,Oncology,Afternoon,16
Wednesday,Neurology,Morning,26
Monday,Neurology,Morning,9
Sunday,Emergency,Morning,19
Thursday,Pediatrics,Evening,9
Sunday,Pediatrics,Morning,14
Saturday,Cardiology,Night,18
Tuesday,Pediatrics,Morning,20
Tuesday,Pediatrics,Morning,15
Sunday,Oncology,Afternoon,28
Friday,Neurology,Afternoon,15
Monday,Cardiology,Afternoon,24
Saturday,Pediatrics,Morning,29
Monday,Pediatrics,Morning,15
Thursday,Neurology,Afternoon,9
Wednesday,Emergency,Night,5
Thursday,Cardiology,Evening,10
Wednesday,Pediatrics,Evening,28
Friday,Cardiology,Evening,11
Sunday,Cardiology,Morning,27
Thursday,Emergency,Night,13
Sunday,Pediatrics,Evening,12
Sunday,Cardiology,Evening,18
Saturday,Pediatrics,Morning,19
Saturday,Pediatrics,Morning,26
Thursday,Oncology,Night,15
Monday,Emergency,Evening,10
Thursday,Cardiology,Morning,13
Monday,Cardiology,Night,26
Friday,Pediatrics,Evening,5
Wednesday,Cardiology,Morning,28
Sunday,Oncology,Afternoon,18
Thursday,Oncology,Evening,15
Saturday,Neurology,Evening,14
Saturday,Cardiology,Night,8
Friday,Cardiology,Afternoon,25
Monday,Emergency,Evening,13
Wednesday,Pediatrics,Night,6
Thursday,Emergency,Morning,5
Thursday,Oncology,Morning,25
Tuesday,Cardiology,Night,9
Saturday,Cardiology,Morning,9
Thursday,Emergency,Morning,27
Sunday,Emergency,Afternoon,22
Friday,Neurology,Evening,29
Saturday,Neurology,Morning,15
Saturday,Neurology,Night,16
Thursday,Emergency,Evening,15
Thursday,Pediatrics,Evening,17
Tuesday,Emergency,Evening,12
Tuesday,Oncology,Morning,7
Tuesday,Cardiology,Afternoon,26
Thursday,Pediatrics,Evening,14
Sunday,Cardiology,Afternoon,5
Wednesday,Pediatrics,Evening,28
Wednesday,Pediatrics,Evening,7
Friday,Oncology,Afternoon,10
Thursday,Oncology,Evening,19
Tuesday,Oncology,Night,21
Wednesday,Cardiology,Night,29
Thursday,Oncology,Night,15
Saturday,Pediatrics,Morning,25
Saturday,Cardiology,Afternoon,26
Saturday,Pediatrics,Evening,5
Tuesday,Neurology,Morning,12
Friday,Cardiology,Night,7
Wednesday,Pediatrics,Afternoon,10
Wednesday,Pediatrics,Afternoon,19
Monday,Cardiology,Afternoon,16
Tuesday,Neurology,Evening,22
Saturday,Cardiology,Morning,9
Monday,Oncology,Night,13
Friday,Oncology,Night,7
Monday,Oncology,Night,5
Thursday,Emergency,Morning,24
Wednesday,Neurology,Afternoon,10
Saturday,Cardiology,Morning,24
Sunday,Emergency,Evening,17
Saturday,Neurology,Evening,21
Sunday,Pediatrics,Evening,23
Monday,Cardiology,Evening,28
Sunday,Oncology,Night,11
Monday,Neurology,Morning,15
Saturday,Pediatrics,Night,20
Tuesday,Neurology,Night,17
Tuesday,Pediatrics,Morning,28
Monday,Neurology,Night,14
Thursday,Oncology,Night,15
Monday,Emergency,Morning,25
Thursday,Pediatrics,Night,15
Monday,Cardiology,Afternoon,9
Friday,Cardiology,Night,17
Friday,Neurology,Night,28
Monday,Emergency,Afternoon,5
Tuesday,Pediatrics,Morning,16
Thursday,Emergency,Morning,27
Friday,Neurology,Afternoon,6
Thursday,Pediatrics,Afternoon,13
Wednesday,Cardiology,Afternoon,24
Sunday,Cardiology,Afternoon,25
Saturday,Pediatrics,Evening,5
Tuesday,Pediatrics,Afternoon,16
Tuesday,Pediatrics,Evening,28
Wednesday,Cardiology,Evening,22
Tuesday,Pediatrics,Night,24
Saturday,Pediatrics,Evening,10
Friday,Emergency,Afternoon,7
Saturday,Neurology,Evening,12
Wednesday,Emergency,Evening,18
Saturday,Neurology,Afternoon,18
Saturday,Neurology,Morning,29
Friday,Neurology,Evening,20
Friday,Cardiology,Afternoon,28
Saturday,Cardiology,Night,13
Saturday,Pediatrics,Night,26
Wednesday,Emergency,Morning,5
Thursday,Emergency,Evening,21
Saturday,Pediatrics,Afternoon,8
Thursday,Emergency,Morning,9
Sunday,Pediatrics,Evening,10
Sunday,Oncology,Night,7
Tuesday,Emergency,Morning,19
Sunday,Cardiology,Night,13
Wednesday,Oncology,Morning,15
Friday,Pediatrics,Morning,19
Thursday,Cardiology,Night,7
Thursday,Emergency,Afternoon,21
Tuesday,Neurology,Night,14
Tuesday,Pediatrics,Night,23
Saturday,Emergency,Evening,18
Sunday,Emergency,Morning,23
Saturday,Pediatrics,Evening,15
Tuesday,Pediatrics,Morning,17
Tuesday,Pediatrics,Morning,14
Wednesday,Emergency,Morning,8
Monday,Oncology,Night,13
Thursday,Neurology,Afternoon,23
Tuesday,Emergency,Afternoon,27
Friday,Pediatrics,Evening,9
Thursday,Oncology,Evening,15
Tuesday,Neurology,Afternoon,21
Tuesday,Oncology,Afternoon,16
Wednesday,Pediatrics,Evening,28
Monday,Neurology,Night,27
Sunday,Oncology,Evening,19
Monday,Oncology,Afternoon,7
Wednesday,Oncology,Morning,12
Friday,Neurology,Night,5
Sunday,Pediatrics,Evening,13
Monday,Neurology,Morning,17
Friday,Oncology,Morning,25
Thursday,Oncology,Evening,29
Thursday,Pediatrics,Morning,19
Monday,Cardiology,Morning,17
Monday,Pediatrics,Afternoon,27
Thursday,Neurology,Morning,25
Saturday,Oncology,Night,6
Thursday,Emergency,Evening,20
Sunday,Oncology,Night,8
Monday,Cardiology,Evening,26
Thursday,Cardiology,Morning,26
Monday,Pediatrics,Evening,14
Saturday,Emergency,Evening,24
Wednesday,Neurology,Night,16
Tuesday,Pediatrics,Afternoon,17
Monday,Oncology,Night,12
Friday,Emergency,Morning,18
Monday,Oncology,Evening,20
Thursday,Emergency,Afternoon,9
Friday,Emergency,Evening,8
Friday,Emergency,Evening,12
Tuesday,Neurology,Evening,15
Monday,Emergency,Morning,16
Wednesday,Pediatrics,Afternoon,18
Sunday,Cardiology,Afternoon,16
Sunday,Emergency,Afternoon,13
Friday,Neurology,Morning,5
Friday,Oncology,Evening,12
Wednesday,Emergency,Afternoon,5
Friday,Cardiology,Morning,27
Sunday,Neurology,Night,9
Thursday,Neurology,Evening,9
Wednesday,Oncology,Night,20
Thursday,Emergency,Night,26
Monday,Pediatrics,Night,17
Saturday,Emergency,Morning,19
Saturday,Neurology,Night,5
Saturday,Emergency,Afternoon,20
Monday,Pediatrics,Night,22
Monday,Pediatrics,Evening,26
Saturday,Neurology,Afternoon,18
Thursday,Cardiology,Evening,13
Friday,Neurology,Night,26
Friday,Pediatrics,Evening,29
Saturday,Pediatrics,Night,8
Wednesday,Emergency,Night,27
Wednesday,Oncology,Afternoon,29
Friday,Pediatrics,Evening,21
Sunday,Cardiology,Evening,10
Tuesday,Neurology,Morning,22
Thursday,Pediatrics,Morning,8
Thursday,Emergency,Morning,5
Thursday,Emergency,Morning,28
Tuesday,Oncology,Evening,24
Wednesday,Neurology,Morning,5
Saturday,Pediatrics,Afternoon,23
Wednesday,Oncology,Night,27
Thursday,Cardiology,Evening,21
Sunday,Pediatrics,Morning,10
Saturday,Oncology,Night,24
Wednesday,Cardiology,Night,17
Thursday,Emergency,Evening,11
Friday,Neurology,Evening,16
Friday,Neurology,Afternoon,27
Wednesday,Cardiology,Morning,12
Saturday,Pediatrics,Morning,23
Tuesday,Neurology,Afternoon,11
Sunday,Neurology,Night,15
Wednesday,Cardiology,Evening,9
Saturday,Cardiology,Morning,19
Monday,Emergency,Night,28
Sunday,Cardiology,Night,21
Thursday,Cardiology,Morning,15
Monday,Oncology,Night,26
Wednesday,Pediatrics,Morning,26
Friday,Oncology,Afternoon,8
Thursday,Cardiology,Afternoon,7
Wednesday,Emergency,Night,6
Tuesday,Pediatrics,Afternoon,21
Wednesday,Oncology,Afternoon,18
Tuesday,Oncology,Morning,12
Friday,Pediatrics,Morning,9
Saturday,Cardiology,Evening,7
Tuesday,Pediatrics,Evening,14
Sunday,Oncology,Night,17
Sunday,Neurology,Morning,16
Monday,Pediatrics,Afternoon,23
Saturday,Emergency,Night,9
Monday,Oncology,Afternoon,13
Monday,Oncology,Night,21
Monday,Neurology,Afternoon,6
Sunday,Neurology,Morning,9
Monday,Neurology,Morning,17
Tuesday,Neurology,Evening,9
Monday,Cardiology,Afternoon,24
Thursday,Pediatrics,Morning,22
Sunday,Emergency,Afternoon,10
Tuesday,Emergency,Morning,11
Friday,Oncology,Afternoon,20
Tuesday,Cardiology,Night,22
Wednesday,Oncology,Evening,17
Friday,Emergency,Night,13
Monday,Pediatrics,Morning,25
Monday,Cardiology,Morning,21
Wednesday,Cardiology,Night,22
Saturday,Emergency,Evening,10
Monday,Oncology,Afternoon,19
Friday,Pediatrics,Afternoon,14
Friday,Cardiology,Night,28
Friday,Oncology,Morning,17
Tuesday,Cardiology,Afternoon,16
Sunday,Oncology,Morning,16
Sunday,Neurology,Afternoon,20
Tuesday,Oncology,Evening,5
Friday,Emergency,Morning,26
Tuesday,Pediatrics,Night,21
Saturday,Cardiology,Morning,7
Tuesday,Oncology,Morning,14
Thursday,Emergency,Evening,17
Saturday,Pediatrics,Night,13
Tuesday,Oncology,Afternoon,12
Thursday,Oncology,Evening,28
Saturday,Cardiology,Morning,7
Thursday,Neurology,Evening,15
Sunday,Cardiology,Night,26
Sunday,Neurology,Afternoon,13
Tuesday,Pediatrics,Evening,11
Tuesday,Cardiology,Morning,23
Tuesday,Emergency,Evening,21
Sunday,Emergency,Afternoon,16
Monday,Emergency,Afternoon,18
Thursday,Emergency,Morning,29
Monday,Neurology,Evening,27
Friday,Oncology,Evening,8
Tuesday,Pediatrics,Morning,16
Friday,Emergency,Afternoon,18
Saturday,Pediatrics,Evening,13
Monday,Cardiology,Evening,12
Thursday,Neurology,Morning,7
Sunday,Neurology,Evening,13
Wednesday,Neurology,Afternoon,22
Tuesday,Oncology,Evening,29
Friday,Oncology,Morning,7
Friday,Neurology,Night,11
Friday,Oncology,Night,25
Monday,Pediatrics,Morning,6
Monday,Pediatrics,Night,13
Wednesday,Pediatrics,Morning,16
Saturday,Pediatrics,Evening,15
Monday,Cardiology,Evening,20
Sunday,Cardiology,Morning,18
Thursday,Neurology,Night,19
Thursday,Emergency,Night,26
Friday,Oncology,Night,13
Sunday,Oncology,Afternoon,10
Tuesday,Neurology,Morning,16
Friday,Oncology,Morning,7
Thursday,Pediatrics,Night,5
Thursday,Oncology,Morning,17
Thursday,Neurology,Morning,17
Friday,Oncology,Night,25
Wednesday,Neurology,Night,25
Tuesday,Oncology,Evening,19
Wednesday,Pediatrics,Morning,7
Wednesday,Emergency,Night,27
Tuesday,Cardiology,Evening,6
Thursday,Cardiology,Afternoon,23
Thursday,Pediatrics,Afternoon,14
Friday,Oncology,Afternoon,16
Friday,Neurology,Morning,25
Wednesday,Oncology,Morning,29
Tuesday,Pediatrics,Night,13
Tuesday,Neurology,Night,17
Monday,Emergency,Night,6
Monday,Neurology,Night,15
Wednesday,Cardiology,Morning,22
Friday,Oncology,Morning,17
Thursday,Emergency,Evening,11
Saturday,Emergency,Morning,11
Sunday,Neurology,Night,15
Thursday,Cardiology,Evening,10
Wednesday,Cardiology,Evening,9
Tuesday,Cardiology,Evening,23
Monday,Emergency,Night,12
Friday,Neurology,Afternoon,25
Tuesday,Emergency,Morning,29
Friday,Cardiology,Night,5
Friday,Cardiology,Afternoon,29
Wednesday,Neurology,Night,8
Monday,Cardiology,Afternoon,10
Monday,Emergency,Evening,18
Saturday,Neurology,Afternoon,16
Thursday,Emergency,Morning,10
Tuesday,Pediatrics,Night,22
Saturday,Pediatrics,Morning,29
Saturday,Emergency,Evening,24
Tuesday,Oncology,Night,21
Saturday,Cardiology,Afternoon,9
Sunday,Pediatrics,Night,22
Monday,Emergency,Night,6
Sunday,Neurology,Afternoon,29
Friday,Emergency,Night,9
Thursday,Pediatrics,Morning,9
Saturday,Cardiology,Night,10
Thursday,Emergency,Afternoon,25
Friday,Pediatrics,Evening,25
Thursday,Emergency,Night,24
Sunday,Emergency,Morning,23
Friday,Pediatrics,Evening,19
Thursday,Oncology,Evening,23
Monday,Neurology,Evening,29
Saturday,Neurology,Evening,20
Thursday,Neurology,Night,13
Thursday,Pediatrics,Night,6
Sunday,Oncology,Evening,18
Tuesday,Cardiology,Morning,22
Thursday,Cardiology,Evening,25
Saturday,Cardiology,Evening,10
Saturday,Oncology,Morning,11
Friday,Cardiology,Night,15
Monday,Pediatrics,Afternoon,22
Thursday,Emergency,Morning,9
Sunday,Cardiology,Evening,15
Monday,Emergency,Evening,13
Monday,Oncology,Evening,22
Thursday,Neurology,Evening,19
Sunday,Emergency,Afternoon,29
Tuesday,Emergency,Night,26
Wednesday,Cardiology,Morning,28
Thursday,Emergency,Night,21
Wednesday,Cardiology,Afternoon,25
Thursday,Neurology,Night,19
Monday,Emergency,Night,19
Thursday,Neurology,Evening,5
Wednesday,Neurology,Night,17
Sunday,Cardiology,Evening,16
Monday,Neurology,Morning,9
Thursday,Emergency,Morning,22
Sunday,Emergency,Evening,24
Tuesday,Cardiology,Morning,19
Friday,Neurology,Afternoon,24
Thursday,Neurology,Afternoon,14
Tuesday,Neurology,Evening,13
Wednesday,Neurology,Morning,15
Saturday,Pediatrics,Evening,25
Tuesday,Cardiology,Morning,12
Friday,Oncology,Afternoon,19
Tuesday,Oncology,Morning,20
Saturday,Pediatrics,Afternoon,21
Thursday,Neurology,Night,27
Tuesday,Emergency,Evening,11
Thursday,Neurology,Morning,24
Wednesday,Neurology,Evening,11
Friday,Oncology,Evening,7
Saturday,Pediatrics,Night,14
Tuesday,Cardiology,Evening,22
Friday,Neurology,Morning,24
Tuesday,Cardiology,Evening,25
Sunday,Cardiology,Night,20
Friday,Pediatrics,Morning,18
Tuesday,Emergency,Night,29
Wednesday,Neurology,Afternoon,21
Saturday,Oncology,Morning,8
Sunday,Oncology,Evening,11
Saturday,Oncology,Afternoon,16
Wednesday,Cardiology,Afternoon,20
Thursday,Emergency,Evening,20
Tuesday,Emergency,Afternoon,20
Wednesday,Pediatrics,Morning,13
Wednesday,Cardiology,Morning,10
Sunday,Emergency,Night,23
Sunday,Oncology,Morning,22
Friday,Oncology,Night,27
Wednesday,Oncology,Evening,6
Wednesday,Emergency,Evening,18
Thursday,Oncology,Morning,10
Sunday,Emergency,Afternoon,7
Sunday,Emergency,Morning,28
Monday,Neurology,Morning,5
Saturday,Oncology,Evening,25
Friday,Emergency,Afternoon,28
Wednesday,Emergency,Afternoon,19
Monday,Oncology,Afternoon,12
Monday,Oncology,Morning,10
Wednesday,Oncology,Morning,25
Thursday,Pediatrics,Afternoon,24
Saturday,Oncology,Afternoon,12
Sunday,Neurology,Afternoon,14
Sunday,Cardiology,Afternoon,7
Saturday,Emergency,Night,24
Saturday,Oncology,Afternoon,11
Sunday,Pediatrics,Evening,29
Tuesday,Emergency,Evening,10
Sunday,Emergency,Evening,20
Saturday,Neurology,Morning,27
Thursday,Pediatrics,Evening,17
Wednesday,Emergency,Afternoon,24
Friday,Neurology,Night,22
Tuesday,Pediatrics,Morning,19
Tuesday,Pediatrics,Evening,25
Wednesday,Oncology,Night,9
Wednesday,Pediatrics,Night,13
Friday,Neurology,Morning,21
Sunday,Pediatrics,Afternoon,20
Saturday,Pediatrics,Afternoon,25
Thursday,Pediatrics,Night,13
Sunday,Oncology,Evening,15
Friday,Emergency,Morning,7
Saturday,Pediatrics,Evening,27
Wednesday,Cardiology,Afternoon,18
Friday,Emergency,Afternoon,17
Sunday,Cardiology,Night,7
Saturday,Pediatrics,Evening,20
Wednesday,Oncology,Afternoon,12
Tuesday,Neurology,Afternoon,19
Friday,Emergency,Evening,9
Monday,Pediatrics,Morning,16
Tuesday,Cardiology,Night,29
Monday,Pediatrics,Afternoon,24
Wednesday,Neurology,Afternoon,21
Monday,Pediatrics,Night,10
Thursday,Cardiology,Evening,15
Saturday,Cardiology,Morning,14
Wednesday,Pediatrics,Night,9
Monday,Pediatrics,Morning,6
Wednesday,Emergency,Night,19
Thursday,Oncology,Evening,19
Monday,Neurology,Morning,24
Monday,Oncology,Morning,21
Tuesday,Pediatrics,Evening,21
Monday,Oncology,Afternoon,9
Saturday,Neurology,Morning,14
Monday,Oncology,Evening,5
Wednesday,Neurology,Morning,21
Thursday,Cardiology,Afternoon,29
Friday,Cardiology,Night,27
Sunday,Pediatrics,Night,11
Saturday,Oncology,Evening,20
Thursday,Cardiology,Morning,8
Thursday,Oncology,Afternoon,21
Monday,Cardiology,Morning,21
Sunday,Pediatrics,Evening,26
Friday,Cardiology,Morning,16
Sunday,Cardiology,Night,25
Friday,Neurology,Night,27
Thursday,Pediatrics,Night,22
Sunday,Emergency,Morning,27
Wednesday,Oncology,Night,23
Friday,Emergency,Night,9
Friday,Emergency,Evening,29
Sunday,Neurology,Afternoon,27
Saturday,Emergency,Afternoon,13
Thursday,Cardiology,Afternoon,21
Saturday,Neurology,Morning,17
Saturday,Neurology,Evening,12
Tuesday,Neurology,Morning,27
Friday,Pediatrics,Morning,11
Sunday,Emergency,Afternoon,26
Saturday,Neurology,Evening,7
Saturday,Cardiology,Evening,29
Thursday,Cardiology,Morning,14
Tuesday,Neurology,Evening,28
Thursday,Pediatrics,Night,8
Saturday,Oncology,Afternoon,25
Thursday,Neurology,Afternoon,19
Wednesday,Oncology,Evening,22
Monday,Pediatrics,Night,27
Sunday,Neurology,Night,19
Tuesday,Neurology,Evening,22
Saturday,Cardiology,Afternoon,14
Saturday,Neurology,Morning,25
Saturday,Neurology,Night,6
Sunday,Neurology,Afternoon,26
Monday,Cardiology,Morning,8
Tuesday,Oncology,Afternoon,6
Sunday,Cardiology,Night,7
Saturday,Cardiology,Night,16
Tuesday,Neurology,Afternoon,29
Saturday,Neurology,Evening,10
Sunday,Emergency,Night,15
Friday,Emergency,Afternoon,24
Wednesday,Pediatrics,Evening,18
Wednesday,Emergency,Evening,11
Thursday,Neurology,Afternoon,20
Sunday,Pediatrics,Night,19
Sunday,Oncology,Morning,24
Sunday,Emergency,Afternoon,26
Monday,Emergency,Afternoon,7
Saturday,Neurology,Afternoon,24
Saturday,Neurology,Morning,18
Thursday,Cardiology,Afternoon,15
Wednesday,Cardiology,Morning,27
Thursday,Emergency,Morning,16
Wednesday,Emergency,Night,27
Wednesday,Pediatrics,Evening,21
Tuesday,Emergency,Afternoon,16
Thursday,Neurology,Morning,18
Tuesday,Neurology,Night,10
Thursday,Pediatrics,Night,25
Saturday,Oncology,Afternoon,8
Sunday,Oncology,Afternoon,22
Wednesday,Neurology,Evening,5
Saturday,Cardiology,Evening,19
Wednesday,Oncology,Morning,11
Friday,Cardiology,Afternoon,12
Tuesday,Neurology,Night,12
Saturday,Neurology,Night,12
Sunday,Cardiology,Night,18
Monday,Neurology,Night,24
Thursday,Emergency,Afternoon,29
Saturday,Neurology,Night,22
Monday,Emergency,Morning,28
Friday,Pediatrics,Night,27
Wednesday,Cardiology,Night,13
Tuesday,Oncology,Evening,25
Monday,Pediatrics,Morning,19
Tuesday,Cardiology,Night,13
Wednesday,Oncology,Morning,20
Tuesday,Emergency,Evening,16
Sunday,Oncology,Night,25
Tuesday,Emergency,Morning,8
Saturday,Neurology,Afternoon,16
Thursday,Neurology,Afternoon,18
Sunday,Emergency,Evening,5
Monday,Pediatrics,Evening,10
Friday,Oncology,Morning,23
Tuesday,Emergency,Evening,14
Tuesday,Pediatrics,Night,5
Saturday,Oncology,Evening,17
Friday,Pediatrics,Morning,6
Sunday,Emergency,Afternoon,8
Sunday,Oncology,Morning,8
Sunday,Oncology,Evening,21
Monday,Pediatrics,Evening,17
Wednesday,Neurology,Evening,19
Thursday,Oncology,Night,8
Friday,Pediatrics,Afternoon,14
Tuesday,Neurology,Morning,5
Sunday,Cardiology,Evening,6
Wednesday,Pediatrics,Afternoon,12
Thursday,Oncology,Evening,29
Friday,Cardiology,Afternoon,8
Tuesday,Emergency,Afternoon,21
Sunday,Cardiology,Afternoon,27
Monday,Cardiology,Night,21
Friday,Cardiology,Afternoon,7
Sunday,Neurology,Evening,11
